seqID,LabID,fieldID,species,location,notes
FT-SA82825,18-005,archival,amazonicusVar.gual,CBB greenhouse,
FT-SA82826,18-053,RMC306,arabicus,Peru,
FT-SA82827,18-057,RMC327,erythrocoryne,Peru,
FT-SA82828,18-058,RMC336,asplundii,Peru,
FT-SA82829,18-061,RMC344,longebracteolatus,Peru,
FT-SA82830,18-114,#199,spiralis,greenhouse,
FT-SA82831,19-020,# 224,amazonicus,greenhouse,
FT-SA82832,19-245,Skinner R3265,acreanus,UC Berkeley,
FT-SA82833,19-465,KK0134,VILL,PLR,
FT-SA82834,19-466,KK0135,VILL,PLR,
FT-SA82835,19-467,JH0182,VILL,PLR,
FT-SA82836,19-468,JH0183,VILL,PLR,
FT-SA82837,19-469,JH0184,VILL,PLR,
FT-SA82838,19-470,JH0185,VILL,PLR,
FT-SA82839,19-471,JH0166,VILL,PLR,
FT-SA82840,19-472,JH0173,VILL,PLR,
FT-SA82841,19-473,JH0174,VILL,PLR,
FT-SA82842,19-474,JH0180,VILL,PLR,
FT-SA82843,19-475,GG0006,VILL,PLR,
FT-SA82844,19-476,GG0007,VILL,PLR,
FT-SA82845,19-495,JH0216,ALLE,BCI,
FT-SA82846,19-496,JH0205,ALLE,BCI,
FT-SA82847,19-497,JH0206,ALLE,BCI,
FT-SA82848,19-498,JH0207,ALLE,BCI,
FT-SA82849,19-499,JH0208,ALLE,BCI,
FT-SA82850,19-500,JH0209,ALLE,BCI,
FT-SA82851,19-501,JH0210,ALLE,BCI,
FT-SA82852,19-502,JH0211,ALLE,BCI,
FT-SA82854,19-503,JH0212,ALLE,BCI,
FT-SA82853,19-504,JH0213,ALLE,BCI,
FT-SA82855,19-505,JH0214,ALLE,BCI,
FT-SA82856,19-506,JH0215,ALLE,BCI,
FT-SA82857,19-507,JH0217,ALLE,BCI,
FT-SA82858,19-508,JH0218,ALLE,BCI,
FT-SA82859,19-509,JH0219,ALLE,BCI,
FT-SA82860,19-510,JH0220,ALLE,BCI,
FT-SA82861,19-511,JH0221,ALLE,BCI,
FT-SA82862,19-512,JH0223,ALLE,BCI,
FT-SA82863,19-513,JH0228,ALLE,BCI,
FT-SA82864,19-514,JH0229,ALLE,BCI,
FT-SA82865,19-515,JH0230,ALLE,BCI,
FT-SA82866,19-516,JH0233,HYB,PLR,HYB?
FT-SA82867,19-539,KK0136,ALLE,PLR,
FT-SA82868,19-542,KK0132,HYB,PLR,
FT-SA82869,19-543,KK0109,ALLE,PLR,
FT-SA82870,19-544,KK0112,ALLE,PLR,
FT-SA82871,19-547,JH0167,ALLE,PLR,
FT-SA82872,19-548,JH0168,ALLE,PLR,
FT-SA82873,19-549,JH0169,ALLE,PLR,
FT-SA82874,19-551,KK0119,ALLE,PLR,
FT-SA82875,19-552,KK0120,ALLE,FPL,
FT-SA82876,19-553,KK0122,ALLE,FPL,
FT-SA82877,19-554,KK0143,ALLE,PLR,
FT-SA82878,19-555,KK0149,ALLE,PLR,
FT-SA82879,19-557,KK0162,ALLE,PLR,
FT-SA82880,19-558,KK0164,ALLE,PLR,
FT-SA82881,19-559,KK0166,ALLE,PLR,
FT-SA82882,19-560,KK0169,ALLE,PLR,
FT-SA82883,19-561,KK0111,HYB,PLR,
FT-SA82884,19-567,JH0242,HYB,PLR,HYB?
FT-SA82885,19-582,KK0103,VILL,PLR,
FT-SA82886,19-583,KK0104,VILL,PLR,
FT-SA82887,19-584,KK0105,VILL,PLR,
FT-SA82888,19-585,KK0106,VILL,PLR,
FT-SA82889,19-586,KK0126,VILL,PLR,
FT-SA82890,19-587,JH0170,VILL,PLR,HYB?
FT-SA82891,19-588,JH0234,VILL,PLR,HYB?
FT-SA82892,19-589,JH0171,HYB,PLR,
FT-SA82893,19-595,GG0012,ALLE,PLR,
FT-SA82894,19-597,KK0113,HYB,PLR,
FT-SA82895,19-600,KK0123,VILL,OMT,
FT-SA82896,19-602,KK0127,VILL,OMT,
FT-SA82897,19-604,KK0129,VILL,OMT,
FT-SA82898,19-606,KK0141,ALLE,PLR,
FT-SA82899,19-614,JH0231,ALLE,BCI,
FT-SA82900,19-723,KK0117,ALLE,PLR,
FT-SA82901,19-726,JH0170,HYB,PLR,
